"Col#" "originalName" "newName"
1 "tBodyAcc-mean()-X" "TotalBodyAccMeanX"
2 "tBodyAcc-mean()-Y" "TotalBodyAccMeanY"
3 "tBodyAcc-mean()-Z" "TotalBodyAccMeanZ"
4 "tBodyAcc-std()-X" "TotalBodyAccSTDX"
5 "tBodyAcc-std()-Y" "TotalBodyAccSTDY"
6 "tBodyAcc-std()-Z" "TotalBodyAccSTDZ"
41 "tGravityAcc-mean()-X" "TotalGravityAccMeanX"
42 "tGravityAcc-mean()-Y" "TotalGravityAccMeanY"
43 "tGravityAcc-mean()-Z" "TotalGravityAccMeanZ"
44 "tGravityAcc-std()-X" "TotalGravityAccSTDX"
45 "tGravityAcc-std()-Y" "TotalGravityAccSTDY"
46 "tGravityAcc-std()-Z" "TotalGravityAccSTDZ"
81 "tBodyAccJerk-mean()-X" "TotalBodyAccJerkMeanX"
82 "tBodyAccJerk-mean()-Y" "TotalBodyAccJerkMeanY"
83 "tBodyAccJerk-mean()-Z" "TotalBodyAccJerkMeanZ"
84 "tBodyAccJerk-std()-X" "TotalBodyAccJerkSTDX"
85 "tBodyAccJerk-std()-Y" "TotalBodyAccJerkSTDY"
86 "tBodyAccJerk-std()-Z" "TotalBodyAccJerkSTDZ"
121 "tBodyGyro-mean()-X" "TotalBodyGyroMeanX"
122 "tBodyGyro-mean()-Y" "TotalBodyGyroMeanY"
123 "tBodyGyro-mean()-Z" "TotalBodyGyroMeanZ"
124 "tBodyGyro-std()-X" "TotalBodyGyroSTDX"
125 "tBodyGyro-std()-Y" "TotalBodyGyroSTDY"
126 "tBodyGyro-std()-Z" "TotalBodyGyroSTDZ"
161 "tBodyGyroJerk-mean()-X" "TotalBodyGyroJerkMeanX"
162 "tBodyGyroJerk-mean()-Y" "TotalBodyGyroJerkMeanY"
163 "tBodyGyroJerk-mean()-Z" "TotalBodyGyroJerkMeanZ"
164 "tBodyGyroJerk-std()-X" "TotalBodyGyroJerkSTDX"
165 "tBodyGyroJerk-std()-Y" "TotalBodyGyroJerkSTDY"
166 "tBodyGyroJerk-std()-Z" "TotalBodyGyroJerkSTDZ"
201 "tBodyAccMag-mean()" "TotalBodyAccMagMean"
202 "tBodyAccMag-std()" "TotalBodyAccMagSTD"
214 "tGravityAccMag-mean()" "TotalGravityAccMagMean"
215 "tGravityAccMag-std()" "TotalGravityAccMagSTD"
227 "tBodyAccJerkMag-mean()" "TotalBodyAccJerkMagMean"
228 "tBodyAccJerkMag-std()" "TotalBodyAccJerkMagSTD"
240 "tBodyGyroMag-mean()" "TotalBodyGyroMagMean"
241 "tBodyGyroMag-std()" "TotalBodyGyroMagSTD"
253 "tBodyGyroJerkMag-mean()" "TotalBodyGyroJerkMagMean"
254 "tBodyGyroJerkMag-std()" "TotalBodyGyroJerkMagSTD"
266 "fBodyAcc-mean()-X" "FFTBodyAccMeanX"
267 "fBodyAcc-mean()-Y" "FFTBodyAccMeanY"
268 "fBodyAcc-mean()-Z" "FFTBodyAccMeanZ"
269 "fBodyAcc-std()-X" "FFTBodyAccSTDX"
270 "fBodyAcc-std()-Y" "FFTBodyAccSTDY"
271 "fBodyAcc-std()-Z" "FFTBodyAccSTDZ"
294 "fBodyAcc-meanFreq()-X" "FFTBodyAccMeanFreqX"
295 "fBodyAcc-meanFreq()-Y" "FFTBodyAccMeanFreqY"
296 "fBodyAcc-meanFreq()-Z" "FFTBodyAccMeanFreqZ"
345 "fBodyAccJerk-mean()-X" "FFTBodyAccJerkMeanX"
346 "fBodyAccJerk-mean()-Y" "FFTBodyAccJerkMeanY"
347 "fBodyAccJerk-mean()-Z" "FFTBodyAccJerkMeanZ"
348 "fBodyAccJerk-std()-X" "FFTBodyAccJerkSTDX"
349 "fBodyAccJerk-std()-Y" "FFTBodyAccJerkSTDY"
350 "fBodyAccJerk-std()-Z" "FFTBodyAccJerkSTDZ"
373 "fBodyAccJerk-meanFreq()-X" "FFTBodyAccJerkMeanFreqX"
374 "fBodyAccJerk-meanFreq()-Y" "FFTBodyAccJerkMeanFreqY"
375 "fBodyAccJerk-meanFreq()-Z" "FFTBodyAccJerkMeanFreqZ"
424 "fBodyGyro-mean()-X" "FFTBodyGyroMeanX"
425 "fBodyGyro-mean()-Y" "FFTBodyGyroMeanY"
426 "fBodyGyro-mean()-Z" "FFTBodyGyroMeanZ"
427 "fBodyGyro-std()-X" "FFTBodyGyroSTDX"
428 "fBodyGyro-std()-Y" "FFTBodyGyroSTDY"
429 "fBodyGyro-std()-Z" "FFTBodyGyroSTDZ"
452 "fBodyGyro-meanFreq()-X" "FFTBodyGyroMeanFreqX"
453 "fBodyGyro-meanFreq()-Y" "FFTBodyGyroMeanFreqY"
454 "fBodyGyro-meanFreq()-Z" "FFTBodyGyroMeanFreqZ"
503 "fBodyAccMag-mean()" "FFTBodyAccMagMean"
504 "fBodyAccMag-std()" "FFTBodyAccMagSTD"
513 "fBodyAccMag-meanFreq()" "FFTBodyAccMagMeanFreq"
516 "fBodyBodyAccJerkMag-mean()" "FFTBodyAccJerkMagMean"
517 "fBodyBodyAccJerkMag-std()" "FFTBodyAccJerkMagSTD"
526 "fBodyBodyAccJerkMag-meanFreq()" "FFTBodyAccJerkMagMeanFreq"
529 "fBodyBodyGyroMag-mean()" "FFTBodyGyroMagMean"
530 "fBodyBodyGyroMag-std()" "FFTBodyGyroMagSTD"
539 "fBodyBodyGyroMag-meanFreq()" "FFTBodyGyroMagMeanFreq"
542 "fBodyBodyGyroJerkMag-mean()" "FFTBodyGyroJerkMagMean"
543 "fBodyBodyGyroJerkMag-std()" "FFTBodyGyroJerkMagSTD"
552 "fBodyBodyGyroJerkMag-meanFreq()" "FFTBodyGyroJerkMagMeanFreq"
555 "angle(tBodyAccMean,gravity)" "angletBodyAccMeangravity"
556 "angle(tBodyAccJerkMean),gravityMean)" "angletBodyAccJerkMeangravityMean"
557 "angle(tBodyGyroMean,gravityMean)" "angletBodyGyroMeangravityMean"
558 "angle(tBodyGyroJerkMean,gravityMean)" "angletBodyGyroJerkMeangravityMean"
559 "angle(X,gravityMean)" "angleXgravityMean"
560 "angle(Y,gravityMean)" "angleYgravityMean"
561 "angle(Z,gravityMean)" "angleZgravityMean"
